SLIM*MIX_oms,7b02d571-7ba0-11f1-b71b-2c7ba0e6fa90,synthetic_prior,0,0,1.6322096586227417,0.07059383392333984,678.0,1.4375410079956055,44.65291213989258,-1.0824203491210938,1.5148812532424927,3065.79345703125,-1.3047139644622803,1.5610991716384888,253.87789916992188,-1.4435994625091553,2.1120989322662354,0.044611606746912,-3.4693007469177246,1.6517444849014282,16.273550033569336,-1.7365527153015137,1.4725819826126099,24.600574493408203,-1.170605182647705,1,3,-1.669447422027588
SLIM+MIX_oms,7b02d570-7ba0-11f1-a421-2c7ba0e6fa90,synthetic_prior,0,0,1.6322096586227417,0.09274172782897949,678.0,1.4375410079956055,44.65291213989258,-1.0824203491210938,1.5148812532424927,3065.79345703125,-1.3047139644622803,1.5610991716384888,253.87789916992188,-1.4435994625091553,2.1120989322662354,0.044611606746912,-3.4693007469177246,1.6517444849014282,16.273550033569336,-1.7365527153015137,1.4725819826126099,24.600574493408203,-1.170605182647705,1,3,-1.669447422027588
SLIM+MIX_oms,7b02fc76-7ba0-11f1-8ae7-2c7ba0e6fa90,synthetic_prior,0,0,1.6322096586227417,0.09174275398254395,678.0,1.4375410079956055,44.65291213989258,-1.0824203491210938,1.5148812532424927,3065.79345703125,-1.3047139644622803,1.5610991716384888,253.87789916992188,-1.4435994625091553,2.1120989322662354,0.044611606746912,-3.4693007469177246,1.6517444849014282,16.273550033569336,-1.7365527153015137,1.4725819826126099,24.600574493408203,-1.170605182647705,1,3,-1.669447422027588
SLIM~MIX_oms,7b02fc75-7ba0-11f1-81bb-2c7ba0e6fa90,synthetic_prior,0,0,1.6322096586227417,0.09274148941040039,678.0,1.4375410079956055,44.65291213989258,-1.0824203491210938,1.5148812532424927,3065.79345703125,-1.3047139644622803,1.5610991716384888,253.87789916992188,-1.4435994625091553,2.1120989322662354,0.044611606746912,-3.4693007469177246,1.6517444849014282,16.273550033569336,-1.7365527153015137,1.4725819826126099,24.600574493408203,-1.170605182647705,1,3,-1.669447422027588
SLIM+MIX_oms,7b02fc76-7ba0-11f1-8ae7-2c7ba0e6fa90,synthetic_prior,0,1,1.6322096586227417,0.1026296615600586,537.0,1.4375410079956055,44.65291213989258,-1.0824203491210938,1.5148812532424927,3065.79345703125,-1.3047139644622803,1.5610991716384888,253.87789916992188,-1.4435994625091553,2.1120989322662354,0.044611606746912,-3.4693007469177246,1.6517444849014282,16.273550033569336,-1.7365527153015137,1.4725819826126099,24.600574493408203,-1.170605182647705,1,3,-1.669447422027588
SLIM~MIX_oms,7b02fc75-7ba0-11f1-81bb-2c7ba0e6fa90,synthetic_prior,0,1,1.3513544797897339,0.10536789894104004,729.0,1.351372241973877,41.97633743286133,-0.840254545211792,1.3279508352279663,2687.486083984375,-0.7710216045379639,1.4238804578781128,231.5623321533203,-1.032900333404541,1.4821386337280273,0.03130562976002693,-1.2008411884307861,1.287737488746643,12.687228202819824,-0.6633081436157227,1.1521321535110474,19.247220993041992,-0.3286985158920288,2,78,-0.8298184871673584
SLIM+MIX_oms,7b02d570-7ba0-11f1-a421-2c7ba0e6fa90,synthetic_prior,0,1,1.6322096586227417,0.11236572265625,552.0,1.4375410079956055,44.65291213989258,-1.0824203491210938,1.5148812532424927,3065.79345703125,-1.3047139644622803,1.5610991716384888,253.87789916992188,-1.4435994625091553,2.1120989322662354,0.044611606746912,-3.4693007469177246,1.6517444849014282,16.273550033569336,-1.7365527153015137,1.4725819826126099,24.600574493408203,-1.170605182647705,1,3,-1.669447422027588
SLIM*MIX_oms,7b02d571-7ba0-11f1-b71b-2c7ba0e6fa90,synthetic_prior,0,1,1.0364207029342651,0.11136579513549805,588.0,1.0184019804000854,31.633607864379883,-0.0451204776763916,0.9981751441955566,2020.09130859375,-0.0006296634674072266,1.0326156616210938,167.93186950683594,-0.06916928291320801,1.0479826927185059,0.02213541604578495,-0.10032069683074951,1.2570390701293945,12.384777069091797,-0.5849502086639404,1.153565764427185,19.27117156982422,-0.33200716972351074,2,16,-0.07632064819335938
SLIM+MIX_oms,7b02fc76-7ba0-11f1-8ae7-2c7ba0e6fa90,synthetic_prior,0,2,1.6321872472763062,0.030260324478149414,595.0,1.4371212720870972,44.63987350463867,-1.0812044143676758,1.5140529870986938,3064.116943359375,-1.302194595336914,1.5611238479614258,253.88189697265625,-1.443676471710205,2.1129534244537354,0.04462965577840805,-3.4729175567626953,1.6513513326644897,16.26967430114746,-1.7352499961853027,1.4726201295852661,24.601211547851562,-1.170717716217041,2,14,-1.6693737506866455
SLIM~MIX_oms,7b02fc75-7ba0-11f1-81bb-2c7ba0e6fa90,synthetic_prior,0,2,1.1756283044815063,0.04350996017456055,863.0,1.0914169549942017,33.90160369873047,-0.20035409927368164,1.1653465032577515,2358.41015625,-0.3638608455657959,1.0724924802780151,174.4169464111328,-0.15334057807922363,1.1915339231491089,0.025167495012283325,-0.4224069118499756,0.8541223406791687,8.415103912353516,0.2682575583457947,1.0495792627334595,17.534000396728516,-0.10268712043762207,3,31,-0.38487160205841064
