run_id,algo,operator,function_set,constant_set,omt_frac,omt_pop_size,omt_gens
3e4c324b-8050-11f1-8202-2c7ba0e6fa90,SLIM+OT_oms_pat5_fn-full_extended_const-small_ints_omt,sum,full_extended,small_ints,1,100,10
3e4c324b-8050-11f1-8202-2c7ba0e6fa90,SLIM*OT_oms_pat5_fn-full_extended_const-small_ints_omt,mul,full_extended,small_ints,1,100,10
