run_id,algo,variant,seed,pop_size,tournament_size,p_inflate,n_elites,elite_train_rmse,elite_size,elite_nodes
3743c908-7c76-11f1-bc3d-72c976fed59b,SLIM+MIX_oms,SLIM+MIX,0,50,5,0.5,10,1.286444902420044,145,2801
3743ce3a-7c76-11f1-bc3d-72c976fed59b,SLIM*MIX_oms,SLIM*MIX,0,50,5,0.5,10,0.9985394477844238,69,1937
3743d0ba-7c76-11f1-bc3d-72c976fed59b,SLIM~MIX_oms,SLIM~MIX,0,50,5,0.5,10,0.992839515209198,125,2877
3743d1f0-7c76-11f1-bc3d-72c976fed59b,SLIM+MIX_oms,SLIM+MIX,0,50,5,0.7,1,1.1850910186767578,162,2840
3743d2fe-7c76-11f1-bc3d-72c976fed59b,SLIM*MIX_oms,SLIM*MIX,0,50,5,0.7,1,0.9987573027610779,100,2620
3743d402-7c76-11f1-bc3d-72c976fed59b,SLIM~MIX_oms,SLIM~MIX,0,50,5,0.7,1,0.9910852313041687,155,3433
3743d506-7c76-11f1-bc3d-72c976fed59b,SLIM+MIX_oms,SLIM+MIX,0,50,5,0.7,3,1.1868305206298828,162,3170
3743d63c-7c76-11f1-bc3d-72c976fed59b,SLIM*MIX_oms,SLIM*MIX,0,50,5,0.7,3,0.9986447095870972,67,1781
3743d740-7c76-11f1-bc3d-72c976fed59b,SLIM~MIX_oms,SLIM~MIX,0,50,5,0.7,3,0.9900375604629517,150,2900
3743db96-7c76-11f1-bc3d-72c976fed59b,SLIM+MIX_oms,SLIM+MIX,0,50,5,0.7,5,1.1887768507003784,159,3141
3743dc18-7c76-11f1-bc3d-72c976fed59b,SLIM*MIX_oms,SLIM*MIX,0,50,5,0.7,5,0.9985160827636719,98,2596
3743dc7c-7c76-11f1-bc3d-72c976fed59b,SLIM~MIX_oms,SLIM~MIX,0,50,5,0.7,5,0.9913010001182556,146,3154
3743deb6-7c76-11f1-bc3d-72c976fed59b,SLIM+MIX_oms,SLIM+MIX,0,50,5,0.7,10,1.1876317262649536,152,3274
3743df06-7c76-11f1-bc3d-72c976fed59b,SLIM*MIX_oms,SLIM*MIX,0,50,5,0.7,10,0.9983048439025879,55,1265
3743df4c-7c76-11f1-bc3d-72c976fed59b,SLIM~MIX_oms,SLIM~MIX,0,50,5,0.7,10,0.990976870059967,138,2950
3743dfe2-7c76-11f1-bc3d-72c976fed59b,SLIM+MIX_oms,SLIM+MIX,0,50,10,0.3,1,1.2455273866653442,130,2516
3743e046-7c76-11f1-bc3d-72c976fed59b,SLIM*MIX_oms,SLIM*MIX,0,50,10,0.3,1,0.9984097480773926,48,1078
3743e096-7c76-11f1-bc3d-72c976fed59b,SLIM~MIX_oms,SLIM~MIX,0,50,10,0.3,1,0.9916930794715881,134,2690
3743e0fa-7c76-11f1-bc3d-72c976fed59b,SLIM+MIX_oms,SLIM+MIX,0,50,10,0.3,3,1.2880024909973145,155,2715
3743e140-7c76-11f1-bc3d-72c976fed59b,SLIM*MIX_oms,SLIM*MIX,0,50,10,0.3,3,0.9986814260482788,42,1080
3743e190-7c76-11f1-bc3d-72c976fed59b,SLIM~MIX_oms,SLIM~MIX,0,50,10,0.3,3,0.9925671815872192,125,2633
3743e1d6-7c76-11f1-bc3d-72c976fed59b,SLIM+MIX_oms,SLIM+MIX,0,50,10,0.3,5,1.2902123928070068,144,3060
3743e21c-7c76-11f1-bc3d-72c976fed59b,SLIM*MIX_oms,SLIM*MIX,0,50,10,0.3,5,0.9986397624015808,90,2582
3743e262-7c76-11f1-bc3d-72c976fed59b,SLIM~MIX_oms,SLIM~MIX,0,50,10,0.3,5,0.991788387298584,123,2647
3743e2a8-7c76-11f1-bc3d-72c976fed59b,SLIM+MIX_oms,SLIM+MIX,0,50,10,0.3,10,1.2926958799362183,136,2688
3743e5c8-7c76-11f1-bc3d-72c976fed59b,SLIM*MIX_oms,SLIM*MIX,0,50,10,0.3,10,0.9984713792800903,53,1447
3743e802-7c76-11f1-bc3d-72c976fed59b,SLIM~MIX_oms,SLIM~MIX,0,50,10,0.3,10,0.9928528070449829,123,2815
3743e906-7c76-11f1-bc3d-72c976fed59b,SLIM+MIX_oms,SLIM+MIX,0,50,10,0.5,1,1.1884006261825562,133,2419
3743eaa0-7c76-11f1-bc3d-72c976fed59b,SLIM*MIX_oms,SLIM*MIX,0,50,10,0.5,1,0.9985702633857727,90,2416
3743ec6c-7c76-11f1-bc3d-72c976fed59b,SLIM~MIX_oms,SLIM~MIX,0,50,10,0.5,1,0.9906560182571411,159,3451
3743ed5c-7c76-11f1-bc3d-72c976fed59b,SLIM+MIX_oms,SLIM+MIX,0,50,10,0.5,3,1.1876732110977173,132,2532
3743ee60-7c76-11f1-bc3d-72c976fed59b,SLIM*MIX_oms,SLIM*MIX,0,50,10,0.5,3,0.9984476566314697,71,2005
3743ef96-7c76-11f1-bc3d-72c976fed59b,SLIM~MIX_oms,SLIM~MIX,0,50,10,0.5,3,0.9913713335990906,151,2951
3743f0a4-7c76-11f1-bc3d-72c976fed59b,SLIM+MIX_oms,SLIM+MIX,0,50,10,0.5,5,1.1955631971359253,156,2970
3743f1da-7c76-11f1-bc3d-72c976fed59b,SLIM*MIX_oms,SLIM*MIX,0,50,10,0.5,5,0.99837726354599,91,2425
3743f6da-7c76-11f1-bc3d-72c976fed59b,SLIM~MIX_oms,SLIM~MIX,0,50,10,0.5,5,0.9910779595375061,147,3281
3743f770-7c76-11f1-bc3d-72c976fed59b,SLIM+MIX_oms,SLIM+MIX,0,50,10,0.5,10,1.2450015544891357,150,2988
3743f7c0-7c76-11f1-bc3d-72c976fed59b,SLIM*MIX_oms,SLIM*MIX,0,50,10,0.5,10,0.9982036352157593,99,3107
3743f810-7c76-11f1-bc3d-72c976fed59b,SLIM~MIX_oms,SLIM~MIX,0,50,10,0.5,10,0.9914740920066833,145,2781
3743f8ba-7c76-11f1-bc3d-72c976fed59b,SLIM+MIX_oms,SLIM+MIX,0,50,10,0.7,1,1.2033231258392334,163,2729
3743f90a-7c76-11f1-bc3d-72c976fed59b,SLIM*MIX_oms,SLIM*MIX,0,50,10,0.7,1,0.9985025525093079,125,3617
3743fa40-7c76-11f1-bc3d-72c976fed59b,SLIM~MIX_oms,SLIM~MIX,0,50,10,0.7,1,0.9893743991851807,178,3850
3743fa90-7c76-11f1-bc3d-72c976fed59b,SLIM+MIX_oms,SLIM+MIX,0,50,10,0.7,3,1.206414818763733,178,3446
3743fae0-7c76-11f1-bc3d-72c976fed59b,SLIM*MIX_oms,SLIM*MIX,0,50,10,0.7,3,0.9981316924095154,61,1693
3743fb30-7c76-11f1-bc3d-72c976fed59b,SLIM~MIX_oms,SLIM~MIX,0,50,10,0.7,3,0.9897472858428955,176,3888
3743fb76-7c76-11f1-bc3d-72c976fed59b,SLIM+MIX_oms,SLIM+MIX,0,50,10,0.7,5,1.2066996097564697,182,3468
3743fbbc-7c76-11f1-bc3d-72c976fed59b,SLIM*MIX_oms,SLIM*MIX,0,50,10,0.7,5,0.9982668161392212,75,1681
3743fbf8-7c76-11f1-bc3d-72c976fed59b,SLIM~MIX_oms,SLIM~MIX,0,50,10,0.7,5,0.9903427362442017,180,3996
3743fc3e-7c76-11f1-bc3d-72c976fed59b,SLIM+MIX_oms,SLIM+MIX,0,50,10,0.7,10,1.2383822202682495,171,3153
