104	3020	387	60	88	94	36	54	42	38	96	112	108	1	88	87	100	0	10	0.95283
54	3112	425	54	48	95	52	34	44	39	104	110	110	0	48	48	100	0	0	0.9
49	3131	466	49	35	93	30	28	0	0	101	119	103	0	35	35	100	0	0	0.66667
74	3448	459	62	63	96	45	35	40	41	101	115	107	1	63	63	100	0	0	0.84211
58	2511	402	49	52	90	33	42	47	45	101	102	113	0	53	53	100	0	0	0.93878
56	3470	549	50	39	88	29	26	41	0	101	116	104	1	39	39	100	3	0	0.56452
51	3043	436	54	46	83	23	59	0	44	100	114	105	1	46	46	93	0	0	0.73469
32	2974	409	53	23	95	40	43	0	0	99	117	107	0	23	23	91	0	0	0.94286
46	2883	420	58	46	87	30	49	51	45	102	121	99	0	48	48	100	0	0	1
31	3410	419	68	36	97	38	46	47	44	100	123	106	1	36	36	100	0	0	0.87179
40	2750	437	56	34	97	18	59	42	45	102	100	117	1	34	34	97	0	0	0.95238
85	2515	380	51	84	93	41	45	55	47	104	111	111	3	84	83	99	4	10	1
37	3147	487	55	28	88	43	33	41	42	103	108	109	0	29	29	97	0	0	0.80556
39	2739	454	47	30	92	35	40	0	0	101	117	103	0	30	30	100	0	0	0.80435
35	2569	397	50	27	100	36	40	42	35	103	113	107	5	27	27	96	0	0	0.71053
38	3178	438	51	40	93	25	22	41	0	98	104	113	2	40	40	100	0	0	0.72727
40	2068	422	33	34	100	50	20	40	38	104	110	112	0	34	34	97	0	0	0.89189
31	2142	408	38	34	100	39	56	0	38	103	104	109	1	34	34	100	0	0	1.0667
89	2329	362	46	89	89	39	41	42	45	101	111	106	9	90	90	100	0	0	0.90698
92	2247	396	42	93	95	26	55	38	40	105	109	110	8	93	93	100	0	0	0.95349
32	3680	450	63	29	92	44	44	35	37	98	124	98	3	29	29	100	0	0	1.0323
46	2286	426	38	39	97	33	44	41	35	104	108	109	0	39	39	95	0	0	0.89744
64	2575	378	49	50	98	46	43	0	0	102	111	108	1	50	50	100	0	0	0.94286
42	2470	388	49	39	86	31	46	54	50	105	104	110	0	39	39	100	5	0	0.86047
46	2803	453	48	41	88	40	45	47	43	102	104	113	1	41	41	100	0	0	0.7
69	2184	435	37	66	94	31	59	46	42	103	107	110	15	66	66	97	0	0	0.5283
78	2522	367	51	75	94	67	15	44	35	105	104	110	0	76	76	100	0	0	0.95062
84	2529	361	52	80	92	52	44	46	38	103	104	114	1	82	82	100	0	0	1.0538
46	2442	604	23	26	80	33	49	0	0	102	120	101	0	26	26	100	0	0	0.84615
32	2502	399	43	26	100	36	36	36	37	102	114	107	2	26	26	100	0	0	0.96774
85	2955	384	55	84	100	33	28	44	45	103	104	108	3	84	84	100	0	0	0.81928
81	2537	413	49	83	97	32	40	41	42	104	107	113	0	84	84	98	1	0	0.92958
72	2548	461	44	69	95	28	19	41	42	101	110	106	3	69	68	100	0	10	0.68657
59	2559	402	46	52	95	51	30	46	43	103	113	105	4	52	52	98	0	0	0.85484
46	2343	424	40	42	100	31	59	39	36	105	106	110	3	42	42	98	2	0	1.0222
58	2973	515	46	43	91	42	29	44	42	101	116	104	3	43	43	100	0	0	0.70175
66	2577	357	53	74	86	38	51	46	43	104	105	112	9	74	74	99	0	0	0.97015
80	3502	465	59	68	100	38	17	44	44	102	114	103	0	68	68	100	0	0	0.72857
