dataset,algo,split,rmse_raw,r2
ppb,sshc_rt_ms1,0,39.45660400390625,-0.16995418071746826
ppb,sshc_rt_oms,0,36.786476135253906,-0.01696467399597168
ppb,sshc_rt_ms1,1,71.49864196777344,-6.64556360244751
ppb,sshc_rt_oms,1,30.085552215576172,-0.35372328758239746
ppb,sshc_rt_ms1,2,32.15778732299805,-0.3940598964691162
ppb,sshc_rt_oms,2,27.265268325805664,-0.0021407604217529297
ppb,sshc_rt_ms1,3,29.21087646484375,0.0016512870788574219
ppb,sshc_rt_oms,3,33.01680374145508,-0.27544891834259033
ppb,sshc_rt_ms1,4,37.663429260253906,-0.29388415813446045
ppb,sshc_rt_oms,4,46.776954650878906,-0.9958115816116333
toxicity,sshc_rt_ms1,0,1900.4698486328125,0.00822216272354126
toxicity,sshc_rt_oms,0,4982.45654296875,-5.8167829513549805
toxicity,sshc_rt_ms1,1,2720.50537109375,-0.17839455604553223
toxicity,sshc_rt_oms,1,2963.660888671875,-0.39845526218414307
toxicity,sshc_rt_ms1,2,2295.19775390625,-0.05770158767700195
toxicity,sshc_rt_oms,2,2248.44970703125,-0.015054464340209961
toxicity,sshc_rt_ms1,3,1941.953125,0.033959388732910156
toxicity,sshc_rt_oms,3,2088.746826171875,-0.1176079511642456
toxicity,sshc_rt_ms1,4,1941.40283203125,-0.13669085502624512
toxicity,sshc_rt_oms,4,1882.6751708984375,-0.06896114349365234
resid_build_sale_price,sshc_rt_ms1,0,171.3457794189453,-0.04852175712585449
resid_build_sale_price,sshc_rt_oms,0,166.75979614257812,0.006853342056274414
resid_build_sale_price,sshc_rt_ms1,1,167.76898193359375,-0.009723544120788574
resid_build_sale_price,sshc_rt_oms,1,169.00537109375,-0.024660944938659668
resid_build_sale_price,sshc_rt_ms1,2,155.76405334472656,-0.15382921695709229
resid_build_sale_price,sshc_rt_oms,2,174.45709228515625,-0.4473857879638672
resid_build_sale_price,sshc_rt_ms1,3,137.03990173339844,-0.026947498321533203
resid_build_sale_price,sshc_rt_oms,3,137.04000854492188,-0.026948928833007812
resid_build_sale_price,sshc_rt_ms1,4,178.35299682617188,0.007208645343780518
resid_build_sale_price,sshc_rt_oms,4,182.9129180908203,-0.044205546379089355
instanbul,sshc_rt_ms1,0,0.015383737161755562,0.39247584342956543
instanbul,sshc_rt_oms,0,0.016061585396528244,0.3377581238746643
instanbul,sshc_rt_ms1,1,0.021818291395902634,-0.015152454376220703
instanbul,sshc_rt_oms,1,0.020727070048451424,0.08385199308395386
instanbul,sshc_rt_ms1,2,0.018290847539901733,0.3318071961402893
instanbul,sshc_rt_oms,2,0.017827285453677177,0.36524730920791626
instanbul,sshc_rt_ms1,3,0.0190770011395216,0.15976423025131226
instanbul,sshc_rt_oms,3,0.018904944881796837,0.174852192401886
instanbul,sshc_rt_ms1,4,0.018848927691578865,0.1912546157836914
instanbul,sshc_rt_oms,4,0.019753092899918556,0.11180418729782104
energy,sshc_rt_ms1,0,7.650166034698486,0.4505864977836609
energy,sshc_rt_oms,0,8.305855751037598,0.35237085819244385
energy,sshc_rt_ms1,1,8.320508003234863,0.31200551986694336
energy,sshc_rt_oms,1,8.142912864685059,0.34106147289276123
energy,sshc_rt_ms1,2,7.610745906829834,0.3910062909126282
energy,sshc_rt_oms,2,8.216320037841797,0.2902374863624573
energy,sshc_rt_ms1,3,8.180362701416016,0.33191978931427
energy,sshc_rt_oms,3,7.983968734741211,0.3636133074760437
energy,sshc_rt_ms1,4,8.5944185256958,0.32739192247390747
energy,sshc_rt_oms,4,9.000065803527832,0.26240086555480957
concrete,sshc_rt_ms1,0,13.049020767211914,0.3629080057144165
concrete,sshc_rt_oms,0,12.500395774841309,0.41535282135009766
concrete,sshc_rt_ms1,1,14.113807678222656,0.3007271885871887
concrete,sshc_rt_oms,1,14.240255355834961,0.28814125061035156
concrete,sshc_rt_ms1,2,14.005769729614258,0.39021873474121094
concrete,sshc_rt_oms,2,14.346315383911133,0.3602049946784973
concrete,sshc_rt_ms1,3,13.426544189453125,0.2495400309562683
concrete,sshc_rt_oms,3,12.809430122375488,0.31694018840789795
concrete,sshc_rt_ms1,4,15.341392517089844,0.15624099969863892
concrete,sshc_rt_oms,4,14.734989166259766,0.22162574529647827
