dataset,algo,rmse_raw,r2
concrete,sshc_rt_ms1,14.844245910644531,0.22647470235824585
concrete,sshc_rt_oms,14.474626541137695,0.21435803174972534
energy,sshc_rt_ms1,7.685199737548828,0.41526472568511963
energy,sshc_rt_oms,7.349610805511475,0.4631982445716858
instanbul,sshc_rt_ms1,0.018530502915382385,0.21834886074066162
instanbul,sshc_rt_oms,0.01880527287721634,0.22175371646881104
ppb,sshc_rt_ms1,34.695308685302734,-0.2214493751525879
ppb,sshc_rt_oms,32.09452438354492,-0.1014636754989624
resid_build_sale_price,sshc_rt_ms1,155.11207580566406,0.11023026704788208
resid_build_sale_price,sshc_rt_oms,158.9500274658203,-0.01078784465789795
toxicity,sshc_rt_ms1,1923.2734375,-0.016286015510559082
toxicity,sshc_rt_oms,2231.367919921875,-0.1820305585861206
