dataset,algo,split,rmse_raw,r2
ppb,sshc_rt_ms1,0,37.16306686401367,-0.037892937660217285
ppb,sshc_rt_oms,0,36.933719635009766,-0.02512192726135254
ppb,sshc_rt_ms1,1,23.852699279785156,0.1490795612335205
ppb,sshc_rt_oms,1,26.021894454956055,-0.012725472450256348
ppb,sshc_rt_ms1,2,39.18030548095703,-1.069401741027832
ppb,sshc_rt_oms,2,25.737300872802734,0.10703343152999878
ppb,sshc_rt_ms1,3,43.92002487182617,-1.2569305896759033
ppb,sshc_rt_oms,3,51.19767379760742,-2.066856861114502
ppb,sshc_rt_ms1,4,38.56630325317383,-0.35666215419769287
ppb,sshc_rt_oms,4,35.823158264160156,-0.1705322265625
toxicity,sshc_rt_ms1,0,1822.1822509765625,0.08824944496154785
toxicity,sshc_rt_oms,0,1843.7908935546875,0.06649696826934814
toxicity,sshc_rt_ms1,1,2802.081787109375,-0.25012433528900146
toxicity,sshc_rt_oms,1,2715.40087890625,-0.17397665977478027
toxicity,sshc_rt_ms1,2,2366.923095703125,-0.12484133243560791
toxicity,sshc_rt_oms,2,2337.20654296875,-0.09677398204803467
toxicity,sshc_rt_ms1,3,2057.669189453125,-0.08459854125976562
toxicity,sshc_rt_oms,3,2051.89599609375,-0.0785210132598877
toxicity,sshc_rt_ms1,4,2019.38232421875,-0.22983872890472412
toxicity,sshc_rt_oms,4,1814.29638671875,0.007278263568878174
resid_build_sale_price,sshc_rt_ms1,0,164.60699462890625,0.03233015537261963
resid_build_sale_price,sshc_rt_oms,0,165.7947235107422,0.01831531524658203
resid_build_sale_price,sshc_rt_ms1,1,162.65090942382812,0.05094325542449951
resid_build_sale_price,sshc_rt_oms,1,172.37294006347656,-0.0659022331237793
resid_build_sale_price,sshc_rt_ms1,2,142.4419403076172,0.0350988507270813
resid_build_sale_price,sshc_rt_oms,2,141.14686584472656,0.05256468057632446
resid_build_sale_price,sshc_rt_ms1,3,129.8751678466797,0.07762736082077026
resid_build_sale_price,sshc_rt_oms,3,140.27114868164062,-0.07594692707061768
resid_build_sale_price,sshc_rt_ms1,4,181.0092315673828,-0.0225832462310791
resid_build_sale_price,sshc_rt_oms,4,179.40835571289062,-0.004575252532958984
instanbul,sshc_rt_ms1,0,0.01803658902645111,0.1648803949356079
instanbul,sshc_rt_oms,0,0.018023816868662834,0.1660628318786621
instanbul,sshc_rt_ms1,1,0.020569289103150368,0.09774690866470337
instanbul,sshc_rt_oms,1,0.020835429430007935,0.07424795627593994
instanbul,sshc_rt_ms1,2,0.01956273801624775,0.23564791679382324
instanbul,sshc_rt_oms,2,0.02014138177037239,0.18976187705993652
instanbul,sshc_rt_ms1,3,0.020170750096440315,0.060655295848846436
instanbul,sshc_rt_oms,3,0.020161978900432587,0.06147193908691406
instanbul,sshc_rt_ms1,4,0.02026533894240856,0.06514066457748413
instanbul,sshc_rt_oms,4,0.019932856783270836,0.09556448459625244
energy,sshc_rt_ms1,0,8.511261940002441,0.31994277238845825
energy,sshc_rt_oms,0,9.228585243225098,0.20048284530639648
energy,sshc_rt_ms1,1,9.647318840026855,0.07509207725524902
energy,sshc_rt_oms,1,9.804364204406738,0.04473453760147095
energy,sshc_rt_ms1,2,8.066408157348633,0.31590133905410767
energy,sshc_rt_oms,2,8.181771278381348,0.29619383811950684
energy,sshc_rt_ms1,3,7.99137544631958,0.36243200302124023
energy,sshc_rt_oms,3,8.033677101135254,0.35566431283950806
energy,sshc_rt_ms1,4,8.876221656799316,0.28256040811538696
energy,sshc_rt_oms,4,9.47213363647461,0.1829950213432312
concrete,sshc_rt_ms1,0,14.59557819366455,0.2029438018798828
concrete,sshc_rt_oms,0,14.818344116210938,0.17842793464660645
concrete,sshc_rt_ms1,1,15.709601402282715,0.1336594820022583
concrete,sshc_rt_oms,1,15.6220121383667,0.14329326152801514
concrete,sshc_rt_ms1,2,16.132673263549805,0.19095492362976074
concrete,sshc_rt_oms,2,16.478246688842773,0.15592294931411743
concrete,sshc_rt_ms1,3,14.072385787963867,0.17560648918151855
concrete,sshc_rt_oms,3,14.433746337890625,0.13272416591644287
concrete,sshc_rt_ms1,4,16.09221076965332,0.0716317892074585
concrete,sshc_rt_oms,4,15.733953475952148,0.11250776052474976
