dataset,algo,rmse_raw,r2
concrete,sshc_rt_ms1,14.005769729614258,0.3007271885871887
concrete,sshc_rt_oms,14.240255355834961,0.31694018840789795
energy,sshc_rt_ms1,8.180362701416016,0.33191978931427
energy,sshc_rt_oms,8.216320037841797,0.34106147289276123
instanbul,sshc_rt_ms1,0.018848927691578865,0.1912546157836914
instanbul,sshc_rt_oms,0.018904944881796837,0.174852192401886
ppb,sshc_rt_ms1,37.663429260253906,-0.29388415813446045
ppb,sshc_rt_oms,33.01680374145508,-0.27544891834259033
resid_build_sale_price,sshc_rt_ms1,167.76898193359375,-0.026947498321533203
resid_build_sale_price,sshc_rt_oms,169.00537109375,-0.026948928833007812
toxicity,sshc_rt_ms1,1941.953125,-0.05770158767700195
toxicity,sshc_rt_oms,2248.44970703125,-0.1176079511642456
