dataset,algo,split,rmse_raw,r2
ppb,sshc_rt_ms1,0,40.315589904785156,-0.2214493751525879
ppb,sshc_rt_oms,0,38.284271240234375,-0.1014636754989624
ppb,sshc_rt_ms1,1,28.996044158935547,-0.25745201110839844
ppb,sshc_rt_oms,1,24.87033462524414,0.07492446899414062
ppb,sshc_rt_ms1,2,29.330148696899414,-0.15967881679534912
ppb,sshc_rt_oms,2,27.254819869995117,-0.0013729333877563477
ppb,sshc_rt_ms1,3,35.46794891357422,-0.4718557596206665
ppb,sshc_rt_oms,3,32.09452438354492,-0.20518839359283447
ppb,sshc_rt_ms1,4,34.695308685302734,-0.09798693656921387
ppb,sshc_rt_oms,4,36.32660675048828,-0.20366406440734863
toxicity,sshc_rt_ms1,0,1887.0892333984375,0.022138655185699463
toxicity,sshc_rt_oms,0,1921.634765625,-0.013990998268127441
toxicity,sshc_rt_ms1,1,3238.995361328125,-0.6703681945800781
toxicity,sshc_rt_oms,1,2724.69921875,-0.1820305585861206
toxicity,sshc_rt_ms1,2,2290.634765625,-0.05350017547607422
toxicity,sshc_rt_oms,2,2451.694091796875,-0.20685601234436035
toxicity,sshc_rt_ms1,3,1923.2734375,0.05245476961135864
toxicity,sshc_rt_oms,3,2231.367919921875,-0.2754408121109009
toxicity,sshc_rt_ms1,4,1835.703125,-0.016286015510559082
toxicity,sshc_rt_oms,4,1903.1634521484375,-0.09235358238220215
resid_build_sale_price,sshc_rt_ms1,0,155.11207580566406,0.14074552059173584
resid_build_sale_price,sshc_rt_oms,0,199.73800659179688,-0.4247938394546509
resid_build_sale_price,sshc_rt_ms1,1,151.45114135742188,0.1771431565284729
resid_build_sale_price,sshc_rt_oms,1,158.9500274658203,0.09364074468612671
resid_build_sale_price,sshc_rt_ms1,2,136.78399658203125,0.11023026704788208
resid_build_sale_price,sshc_rt_oms,2,140.19337463378906,0.06532204151153564
resid_build_sale_price,sshc_rt_ms1,3,336.8396911621094,-5.20441198348999
resid_build_sale_price,sshc_rt_oms,3,137.1322784423828,-0.028332233428955078
resid_build_sale_price,sshc_rt_ms1,4,180.22850036621094,-0.013780951499938965
resid_build_sale_price,sshc_rt_oms,4,179.96224975585938,-0.01078784465789795
instanbul,sshc_rt_ms1,0,0.014927420765161514,0.4279823899269104
instanbul,sshc_rt_oms,0,0.015164447017014027,0.4096725583076477
instanbul,sshc_rt_ms1,1,0.019464924931526184,0.1920299530029297
instanbul,sshc_rt_oms,1,0.019103530794382095,0.22175371646881104
instanbul,sshc_rt_ms1,2,0.017938097938895226,0.35733163356781006
instanbul,sshc_rt_oms,2,0.018037015572190285,0.35022425651550293
instanbul,sshc_rt_ms1,3,0.01888912543654442,0.17623257637023926
instanbul,sshc_rt_oms,3,0.01880527287721634,0.18353009223937988
instanbul,sshc_rt_ms1,4,0.018530502915382385,0.21834886074066162
instanbul,sshc_rt_oms,4,0.0189206600189209,0.1850873827934265
energy,sshc_rt_ms1,0,7.362347602844238,0.4911494851112366
energy,sshc_rt_oms,0,7.261861324310303,0.5049449801445007
energy,sshc_rt_ms1,1,8.101280212402344,0.3477822542190552
energy,sshc_rt_oms,1,7.349610805511475,0.4631982445716858
energy,sshc_rt_ms1,2,7.685199737548828,0.37903279066085815
energy,sshc_rt_oms,2,7.816946983337402,0.35755980014801025
energy,sshc_rt_ms1,3,7.099514961242676,0.4967998266220093
energy,sshc_rt_oms,3,7.17885684967041,0.48548972606658936
energy,sshc_rt_ms1,4,8.013368606567383,0.41526472568511963
energy,sshc_rt_oms,4,7.931747913360596,0.427115797996521
concrete,sshc_rt_ms1,0,13.925536155700684,0.27444523572921753
concrete,sshc_rt_oms,0,13.86243724822998,0.2810056209564209
concrete,sshc_rt_ms1,1,14.844245910644531,0.22647470235824585
concrete,sshc_rt_oms,1,14.960055351257324,0.21435803174972534
concrete,sshc_rt_ms1,2,15.377508163452148,0.26492440700531006
concrete,sshc_rt_oms,2,14.474626541137695,0.3487094044685364
concrete,sshc_rt_ms1,3,14.159582138061523,0.16535842418670654
concrete,sshc_rt_oms,3,13.764938354492188,0.21123498678207397
concrete,sshc_rt_ms1,4,15.691393852233887,0.1173025369644165
concrete,sshc_rt_oms,4,15.197524070739746,0.17199206352233887
